author,s_count,s_mean,s_std,s_min,s_25,s_50,s_75,s_max,comp,neg,neu,pos,rating
ned raggett,28.0,7.69,0.65,6.7,7.38,7.5,8.22,9.0,-0.04,0.11,0.39,0.87,7.69
neil lieberman,13.0,6.26,1.57,4.0,4.8,6.0,7.3,9.4,-0.09,0.12,0.29,0.83,6.26
neil robertson,13.0,6.5,1.32,3.7,6.7,6.9,7.0,8.3,-0.14,0.1,0.3,0.82,6.5
nelson george,2.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,-0.05,0.09,0.32,0.88,10.0
nicholas b. sylvester,16.0,6.75,1.56,3.0,6.18,7.2,7.75,8.7,-0.09,0.1,0.29,0.85,6.75
nick mirov,39.0,7.0,1.42,2.4,6.3,7.1,8.0,9.0,-0.11,0.1,0.28,0.85,7.0
nick neyland,253.0,6.85,0.73,4.6,6.4,6.8,7.4,9.2,-0.08,0.09,0.3,0.87,6.85
nick sylvester,165.0,6.67,1.82,0.5,6.2,7.4,7.8,9.0,-0.11,0.1,0.3,0.84,6.72
nina corcoran,6.0,7.32,0.39,6.8,7.12,7.25,7.52,7.9,-0.1,0.08,0.27,0.86,7.32
nina mashurova,3.0,7.4,0.69,6.6,7.2,7.8,7.8,7.8,-0.15,0.08,0.24,0.86,7.4
nitsuh abebe,191.0,7.37,1.11,3.4,6.9,7.5,8.05,10.0,-0.05,0.12,0.36,0.85,7.36
noah sutcliffe,3.0,4.77,1.85,3.7,3.7,3.7,5.3,6.9,-0.17,0.08,0.26,0.84,4.77
oliver lache,2.0,5.6,0.0,5.6,5.6,5.6,5.6,5.6,-0.23,0.07,0.22,0.85,5.6
p.j. gallagher,1.0,8.0,,8.0,8.0,8.0,8.0,8.0,-0.1,0.12,0.27,0.87,8.0
pat healy,18.0,6.61,0.97,4.9,5.78,6.85,7.4,8.2,-0.05,0.11,0.3,0.86,6.61
patric fallon,17.0,6.73,0.91,5.0,5.9,6.9,7.4,8.0,-0.05,0.09,0.3,0.88,6.73
patrick bowman,9.0,6.42,0.71,5.5,6.0,6.0,7.0,7.5,-0.08,0.1,0.37,0.87,6.42
patrick sisson,32.0,6.75,0.78,4.5,6.38,6.8,7.2,8.0,-0.07,0.1,0.3,0.87,6.75
patrick sisson ,2.0,6.9,0.0,6.9,6.9,6.9,6.9,6.9,-0.09,0.07,0.24,0.88,6.9
patrick st. michel,24.0,7.05,0.62,6.0,6.7,7.0,7.32,8.8,-0.05,0.11,0.34,0.87,7.05
paul a. thompson,19.0,7.31,0.48,6.2,6.95,7.3,7.65,8.0,-0.15,0.08,0.24,0.86,7.31
paul cooper,162.0,6.75,1.73,2.2,5.85,7.0,7.9,9.5,-0.09,0.09,0.25,0.86,6.75
paul thompson,270.0,6.68,1.05,2.8,6.0,6.8,7.4,10.0,-0.08,0.11,0.33,0.86,6.68
paula mejia,2.0,7.4,0.28,7.2,7.3,7.4,7.5,7.6,-0.2,0.06,0.26,0.86,7.4
pete nicholson,2.0,7.65,0.92,7.0,7.32,7.65,7.98,8.3,-0.12,0.08,0.22,0.81,7.65
peter macia,50.0,6.96,1.57,0.6,6.0,7.65,8.0,8.8,-0.12,0.09,0.25,0.84,6.96
philip shelley,4.0,7.55,0.82,6.5,7.32,7.6,7.82,8.5,-0.08,0.09,0.26,0.86,7.55
philip sherburne,228.0,7.58,0.8,4.0,7.2,7.7,8.0,9.7,-0.07,0.09,0.28,0.88,7.58
philip sherburne ,1.0,8.2,,8.2,8.2,8.2,8.2,8.2,-0.07,0.06,0.28,0.9,8.2
philip welsh,1.0,8.6,,8.6,8.6,8.6,8.6,8.6,-0.1,0.1,0.29,0.83,8.6
piotr orlov,3.0,7.17,0.93,6.1,6.85,7.6,7.7,7.8,-0.03,0.12,0.36,0.88,7.17
pj gallagher,2.0,7.5,0.0,7.5,7.5,7.5,7.5,7.5,-0.09,0.11,0.27,0.86,7.5
puja patel,13.0,6.43,0.83,5.0,6.0,6.7,6.8,7.8,-0.12,0.09,0.28,0.85,6.43
quinn moreland,16.0,7.53,0.52,6.5,7.28,7.5,7.72,8.6,-0.1,0.11,0.3,0.85,7.53
rachael maddux,20.0,7.18,0.83,5.1,6.95,7.3,7.8,8.5,-0.12,0.09,0.3,0.86,7.18
rachel khong,22.0,6.71,0.91,5.0,6.05,6.9,7.18,8.3,-0.16,0.12,0.33,0.8,6.69
rawiya kameir,1.0,5.3,,5.3,5.3,5.3,5.3,5.3,-0.01,0.13,0.51,0.83,5.3
